Order_ID,Customer_ID,Product_ID,Store_ID,Order_Date,Ship_Date,Month,Quarter,Year,Country,Nation,Region,City,Product_Category,Product_Subcategory,Product_Name,Sales_Channel,Customer_Segment,Units_Sold,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Payment_Method,Delivery_Type,Satisfaction_Score,Returned_Units,Delivery_Days,Order_Status
ORD2024-00011,CUST01053,CAT029,ECH002,2025-07-06,2025-07-10,Jul,Q3,2025,United Kingdom,England,East Midlands,Nottingham,Storage,Laundry,FreshFold Laundry Basket,Online,Small Business,5,26.15,0.0,130.75,69.29,61.46,0.4701,Digital Wallet,Standard,3.5,0,4,Completed
ORD2024-00012,CUST01324,CAT033,ECH003,2024-04-21,2024-04-26,Apr,Q2,2024,United Kingdom,England,East of England,Cambridge,Home Accessories,Decor,Elm Photo Frame Set,Online,Consumer,1,17.93,0.0,17.93,12.02,5.91,0.3296,Bank Transfer,Standard,3.1,0,5,Delivered Late
ORD2024-00013,CUST00031,CAT020,STR004,2025-05-12,2025-05-14,May,Q2,2025,United Kingdom,England,London,London,Electronics,Workspace,Folio Wireless Keyboard,In-Store,Consumer,2,67.8,0.16,113.9,79.88,34.02,0.2987,PayPal,Click & Collect,4.1,0,2,Completed
ORD2024-00014,CUST01356,CAT032,ECH002,2024-02-29,2024-03-06,Feb,Q1,2024,United Kingdom,England,East Midlands,Nottingham,Cleaning,Consumables,Eco Wipe Refill Bundle,Online,Home Office,2,15.99,0.0,31.98,18.02,13.96,0.4365,Card,Standard,2.5,1,6,Partially Returned
ORD2024-00015,CUST00482,CAT002,ECH003,2025-08-15,2025-08-16,Aug,Q3,2025,United Kingdom,England,East Midlands,Leicester,Home Accessories,Lighting,Harbour Floor Lamp,Online,Premium,2,78.49,0.06,147.56,106.47,41.09,0.2785,Card,Express,4.8,0,1,Completed
ORD2024-00016,CUST01540,CAT004,ECH003,2024-04-12,2024-04-17,Apr,Q2,2024,United Kingdom,Scotland,Scotland,Edinburgh,Home Accessories,Decor,Alder Wall Mirror,Online,Premium,1,64.72,0.12,56.95,42.36,14.59,0.2562,Bank Transfer,Standard,4.4,0,5,Completed
ORD2024-00017,CUST01340,CAT021,ECH003,2025-11-10,2025-11-13,Nov,Q4,2025,United Kingdom,England,West Midlands,Coventry,Electronics,Workspace,Folio USB-C Dock,Online,Small Business,1,127.5,0.0,127.5,90.14,37.36,0.293,Card,Standard,3.9,0,3,Completed
ORD2024-00018,CUST00515,CAT040,ECH002,2024-02-15,2024-02-17,Feb,Q1,2024,United Kingdom,England,West Midlands,Birmingham,Storage,Organisation,Loft Label Maker,Online,Home Office,3,30.71,0.0,92.13,57.48,34.65,0.3761,PayPal,Standard,3.5,0,2,Completed
ORD2024-00019,CUST01118,CAT039,STR010,2025-03-16,2025-03-16,Mar,Q1,2025,United Kingdom,England,North East,Newcastle upon Tyne,Personal Care,Wellbeing,Serene Heated Blanket,In-Store,Premium,1,64.0,0.07,59.52,40.6,18.92,0.3179,PayPal,Store Pickup,5.0,0,0,Completed
ORD2024-00020,CUST00833,CAT026,STR004,2024-06-30,2024-07-03,Jun,Q2,2024,United Kingdom,England,London,London,Personal Care,Wellbeing,CalmAir Diffuser,In-Store,Premium,4,39.48,0.04,151.6,90.36,61.24,0.404,PayPal,Standard,4.9,0,3,Completed
ORD2024-00021,CUST00222,CAT011,STR008,2025-04-16,2025-04-16,Apr,Q2,2025,United Kingdom,Northern Ireland,Northern Ireland,Belfast,Furniture,Dining,Abbey Dining Chair,In-Store,Consumer,2,73.91,0.0,147.82,87.62,60.2,0.4073,Digital Wallet,Store Pickup,3.9,0,0,Completed
ORD2024-00022,CUST01099,CAT024,STR002,2024-09-24,2024-09-24,Sep,Q3,2024,United Kingdom,England,West Midlands,Birmingham,Garden,Seasonal,Patio Lantern Duo,In-Store,Consumer,1,40.44,0.0,40.44,20.95,19.49,0.4819,Card,Store Pickup,4.6,0,0,Completed
ORD2024-00023,CUST00789,CAT025,ECH001,2025-03-22,2025-03-24,Mar,Q1,2025,United Kingdom,Northern Ireland,Northern Ireland,Derry,Personal Care,Wellbeing,PureMist Humidifier,Online,Small Business,1,52.16,0.06,49.03,35.94,13.09,0.267,PayPal,Standard,4.0,0,2,Completed
ORD2024-00024,CUST01475,CAT008,STR007,2025-12-14,2025-12-14,Dec,Q4,2025,United Kingdom,Wales,Wales,Cardiff,Furniture,Living Room,Camden TV Stand,In-Store,Premium,1,217.01,0.1,195.31,145.9,49.41,0.253,Card,Store Pickup,4.7,0,0,Completed
ORD2024-00025,CUST00588,CAT018,STR010,2024-11-25,2024-11-25,Nov,Q4,2024,United Kingdom,England,North East,Newcastle upon Tyne,Electronics,Small Tech,Pulse Bluetooth Speaker,In-Store,Premium,2,60.04,0.0,120.08,79.1,40.98,0.3413,Card,Store Pickup,3.8,0,0,Completed
ORD2024-00026,CUST01539,CAT006,STR004,2024-05-30,2024-05-30,May,Q2,2024,United Kingdom,England,London,London,Home Accessories,Soft Furnishings,Hearth Throw Blanket,In-Store,Consumer,1,38.8,0.12,34.14,18.14,16.0,0.4687,Card,Store Pickup,4.1,0,0,Completed
ORD2024-00027,CUST00500,CAT010,STR001,2024-04-19,2024-04-19,Apr,Q2,2024,United Kingdom,England,North West,Manchester,Furniture,Bedroom,Maple Chest of Drawers,In-Store,Home Office,1,261.2,0.06,245.53,185.58,59.95,0.2442,Digital Wallet,Store Pickup,3.8,0,0,Completed
ORD2024-00028,CUST00650,CAT024,STR009,2025-07-15,2025-07-15,Jul,Q3,2025,United Kingdom,England,South East,Reading,Garden,Seasonal,Patio Lantern Duo,In-Store,Small Business,1,40.97,0.09,37.28,21.09,16.19,0.4343,Card,Store Pickup,4.3,0,0,Completed
ORD2024-00029,CUST00490,CAT004,STR005,2024-12-09,2024-12-09,Dec,Q4,2024,United Kingdom,England,South West,Bristol,Home Accessories,Decor,Alder Wall Mirror,In-Store,Small Business,2,68.67,0.0,137.34,72.84,64.5,0.4696,Card,Store Pickup,3.9,0,0,Completed
ORD2024-00030,CUST01577,CAT026,STR001,2025-08-12,2025-08-12,Aug,Q3,2025,United Kingdom,England,North West,Manchester,Personal Care,Wellbeing,CalmAir Diffuser,In-Store,Premium,1,36.5,0.0,36.5,21.86,14.64,0.4011,Digital Wallet,Store Pickup,4.6,0,0,Completed
ORD2024-00031,CUST01236,CAT011,STR005,2024-01-30,2024-01-30,Jan,Q1,2024,United Kingdom,England,South West,Bristol,Furniture,Dining,Abbey Dining Chair,In-Store,Premium,1,74.25,0.04,71.28,45.68,25.6,0.3591,Card,Store Pickup,3.8,0,0,Completed
ORD2024-00032,CUST00878,CAT008,STR003,2024-12-01,2024-12-01,Dec,Q4,2024,United Kingdom,England,London,London,Furniture,Living Room,Camden TV Stand,In-Store,Small Business,1,240.8,0.0,240.8,142.75,98.05,0.4072,Card,Store Pickup,2.8,1,0,Returned
ORD2024-00033,CUST01332,CAT012,STR001,2024-09-10,2024-09-10,Sep,Q3,2024,United Kingdom,England,North West,Manchester,Furniture,Dining,Bromley Dining Table,In-Store,Home Office,1,311.1,0.0,311.1,232.79,78.31,0.2517,PayPal,Store Pickup,4.6,0,0,Completed
ORD2024-00034,CUST00235,CAT034,STR002,2024-11-15,2024-11-16,Nov,Q4,2024,United Kingdom,England,West Midlands,Birmingham,Kitchen,Tableware,Harper Dinner Set,In-Store,Consumer,2,77.32,0.0,154.64,87.08,67.56,0.4369,Card,Standard,4.7,0,1,Completed
ORD2024-00035,CUST01402,CAT027,STR010,2024-12-21,2024-12-21,Dec,Q4,2024,United Kingdom,England,North East,Newcastle upon Tyne,Storage,Organisation,Metro Storage Box Pack,In-Store,Consumer,2,19.08,0.07,35.49,16.33,19.16,0.5399,Card,Store Pickup,4.6,0,0,Completed
ORD2024-00036,CUST00361,CAT016,STR005,2025-07-05,2025-07-06,Jul,Q3,2025,United Kingdom,England,South West,Bristol,Kitchen,Appliances,Harbour Kettle,In-Store,Consumer,3,48.86,0.11,130.46,93.89,36.57,0.2803,PayPal,Click & Collect,3.9,0,1,Completed
ORD2024-00037,CUST01168,CAT038,ECH002,2024-07-05,2024-07-09,Jul,Q3,2024,United Kingdom,England,East of England,Cambridge,Garden,Outdoor Living,Verde Folding Chair,Online,Home Office,2,61.91,0.0,123.82,74.3,49.52,0.3999,Digital Wallet,Standard,4.3,0,4,Completed
ORD2024-00038,CUST00493,CAT025,STR008,2024-01-18,2024-01-18,Jan,Q1,2024,United Kingdom,Northern Ireland,Northern Ireland,Belfast,Personal Care,Wellbeing,PureMist Humidifier,In-Store,Home Office,1,51.29,0.06,48.21,30.63,17.58,0.3647,PayPal,Store Pickup,4.8,0,0,Completed
ORD2024-00039,CUST00678,CAT013,STR005,2024-08-24,2024-08-24,Aug,Q3,2024,United Kingdom,England,South West,Bristol,Kitchen,Cookware,Sterling Saucepan Set,In-Store,Small Business,1,93.64,0.0,93.64,58.4,35.24,0.3763,Digital Wallet,Store Pickup,4.0,0,0,Completed
ORD2024-00040,CUST00580,CAT015,STR005,2024-07-02,2024-07-03,Jul,Q3,2024,United Kingdom,England,South West,Bristol,Kitchen,Storage,Pantry Glass Jar Set,In-Store,Consumer,1,22.37,0.0,22.37,10.73,11.64,0.5203,Card,Click & Collect,3.0,0,1,Completed
ORD2024-00041,CUST00026,CAT032,ECH002,2024-12-14,2024-12-15,Dec,Q4,2024,United Kingdom,England,South East,Southampton,Cleaning,Consumables,Eco Wipe Refill Bundle,Online,Consumer,1,17.23,0.0,17.23,14.65,2.58,0.1497,Card,Express,4.6,0,1,Completed
ORD2024-00042,CUST00509,CAT029,STR007,2025-09-25,2025-09-25,Sep,Q3,2025,United Kingdom,Wales,Wales,Cardiff,Storage,Laundry,FreshFold Laundry Basket,In-Store,Premium,2,25.9,0.0,51.8,24.67,27.13,0.5237,PayPal,Store Pickup,3.4,0,0,Completed
ORD2024-00043,CUST01563,CAT006,STR005,2024-06-09,2024-06-09,Jun,Q2,2024,United Kingdom,England,South West,Bristol,Home Accessories,Soft Furnishings,Hearth Throw Blanket,In-Store,Consumer,2,35.01,0.0,70.02,34.99,35.03,0.5003,Card,Store Pickup,4.3,0,0,Completed
ORD2024-00044,CUST00542,CAT036,STR004,2025-07-11,2025-07-15,Jul,Q3,2025,United Kingdom,England,London,London,Furniture,Workspace,Apex Standing Desk,In-Store,Small Business,1,306.27,0.0,306.27,214.97,91.3,0.2981,Card,Standard,4.1,0,4,Completed
ORD2024-00045,CUST00623,CAT030,STR009,2025-03-24,2025-03-26,Mar,Q1,2025,United Kingdom,England,South East,Reading,Cleaning,Home Care,Swift Steam Mop,In-Store,Consumer,1,83.54,0.0,83.54,59.78,23.76,0.2844,Card,Standard,4.9,0,2,Completed
ORD2024-00046,CUST00083,CAT029,STR008,2024-07-04,2024-07-04,Jul,Q3,2024,United Kingdom,Northern Ireland,Northern Ireland,Belfast,Storage,Laundry,FreshFold Laundry Basket,In-Store,Consumer,2,25.85,0.17,42.91,24.69,18.22,0.4246,Card,Store Pickup,4.3,0,0,Completed
ORD2024-00047,CUST01015,CAT033,STR007,2025-07-17,2025-07-17,Jul,Q3,2025,United Kingdom,Wales,Wales,Cardiff,Home Accessories,Decor,Elm Photo Frame Set,In-Store,Premium,1,17.64,0.0,17.64,7.71,9.93,0.5629,Card,Store Pickup,4.3,0,0,Completed
ORD2024-00048,CUST01276,CAT022,STR001,2025-07-16,2025-07-16,Jul,Q3,2025,United Kingdom,England,North West,Manchester,Garden,Outdoor Living,Meadow Bistro Set,In-Store,Consumer,1,196.41,0.11,174.8,126.78,48.02,0.2747,Card,Store Pickup,4.2,0,0,Completed
ORD2024-00049,CUST00029,CAT021,ECH001,2025-04-17,2025-04-21,Apr,Q2,2025,United Kingdom,England,North West,Liverpool,Electronics,Workspace,Folio USB-C Dock,Online,Consumer,6,120.41,0.0,722.46,540.77,181.69,0.2515,Card,Standard,4.0,0,4,Completed
ORD2024-00050,CUST01228,CAT029,STR003,2024-10-09,2024-10-11,Oct,Q4,2024,United Kingdom,England,Yorkshire and The Humber,Leeds,Storage,Laundry,FreshFold Laundry Basket,In-Store,Consumer,4,25.67,0.12,90.36,54.3,36.06,0.3991,PayPal,Standard,4.3,0,2,Completed
ORD2024-00051,CUST00915,CAT012,STR006,2025-07-10,2025-07-10,Jul,Q3,2025,United Kingdom,Scotland,Scotland,Glasgow,Furniture,Dining,Bromley Dining Table,In-Store,Consumer,2,319.58,0.21,504.94,483.72,21.22,0.042,Card,Store Pickup,3.3,0,0,Completed
ORD2024-00052,CUST01360,CAT014,STR001,2025-08-27,2025-08-27,Aug,Q3,2025,United Kingdom,England,North West,Manchester,Kitchen,Cookware,Forge Frying Pan,In-Store,Premium,1,32.91,0.07,30.61,18.82,11.79,0.3852,Bank Transfer,Store Pickup,4.6,0,0,Completed
ORD2024-00053,CUST00154,CAT031,STR005,2025-12-10,2025-12-12,Dec,Q4,2025,United Kingdom,England,South West,Bristol,Cleaning,Home Care,PureClean Vacuum,In-Store,Premium,1,141.55,0.05,134.47,100.13,34.34,0.2554,Digital Wallet,Standard,4.2,0,2,Completed
ORD2024-00054,CUST00589,CAT001,STR007,2025-10-10,2025-10-10,Oct,Q4,2025,United Kingdom,Wales,Wales,Cardiff,Home Accessories,Lighting,Aurora Desk Lamp,In-Store,Consumer,1,31.15,0.0,31.15,18.07,13.08,0.4199,Card,Store Pickup,4.0,0,0,Completed
ORD2024-00055,CUST00844,CAT015,STR003,2024-03-21,2024-03-21,Mar,Q1,2024,United Kingdom,England,Yorkshire and The Humber,Leeds,Kitchen,Storage,Pantry Glass Jar Set,In-Store,Home Office,2,21.79,0.06,40.97,19.48,21.49,0.5245,Card,Store Pickup,3.8,0,0,Completed
ORD2024-00056,CUST00590,CAT010,ECH002,2025-08-24,2025-08-27,Aug,Q3,2025,United Kingdom,England,East of England,Norwich,Furniture,Bedroom,Maple Chest of Drawers,Online,Premium,2,258.88,0.0,517.76,384.49,133.27,0.2574,Card,Standard,3.6,0,3,Completed
ORD2024-00057,CUST01433,CAT003,ECH003,2024-10-08,2024-10-10,Oct,Q4,2024,United Kingdom,England,London,London,Home Accessories,Decor,Willow Ceramic Vase,Online,Small Business,4,26.5,0.19,85.86,50.98,34.88,0.4062,Card,Click & Collect,4.4,0,2,Completed
ORD2024-00058,CUST00514,CAT013,STR001,2025-03-27,2025-03-27,Mar,Q1,2025,United Kingdom,England,North West,Manchester,Kitchen,Cookware,Sterling Saucepan Set,In-Store,Consumer,1,94.96,0.0,94.96,59.22,35.74,0.3764,PayPal,Store Pickup,3.9,0,0,Completed
ORD2024-00059,CUST00750,CAT015,STR005,2024-09-20,2024-09-20,Sep,Q3,2024,United Kingdom,England,South West,Bristol,Kitchen,Storage,Pantry Glass Jar Set,In-Store,Premium,5,22.78,0.1,102.51,50.4,52.11,0.5083,Digital Wallet,Store Pickup,4.4,0,0,Completed
ORD2024-00060,CUST01382,CAT020,STR009,2025-02-08,2025-02-12,Feb,Q1,2025,United Kingdom,England,South East,Reading,Electronics,Workspace,Folio Wireless Keyboard,In-Store,Home Office,1,59.95,0.0,59.95,42.65,17.3,0.2886,Card,Standard,4.0,0,4,Completed
ORD2024-00061,CUST00052,CAT040,ECH003,2025-10-25,2025-10-29,Oct,Q4,2025,United Kingdom,England,East Midlands,Leicester,Storage,Organisation,Loft Label Maker,Online,Consumer,4,32.02,0.0,128.08,77.67,50.41,0.3936,Card,Standard,4.4,0,4,Completed
ORD2024-00062,CUST01374,CAT024,ECH003,2025-02-28,2025-03-04,Feb,Q1,2025,United Kingdom,England,Yorkshire and The Humber,Leeds,Garden,Seasonal,Patio Lantern Duo,Online,Consumer,2,39.24,0.07,72.99,47.69,25.3,0.3466,Card,Standard,4.0,0,4,Completed
ORD2024-00063,CUST01405,CAT019,STR006,2024-07-13,2024-07-13,Jul,Q3,2024,United Kingdom,Scotland,Scotland,Edinburgh,Electronics,Small Tech,Nova Smart Plug Twin Pack,In-Store,Consumer,8,27.13,0.11,193.17,113.08,80.09,0.4146,Card,Click & Collect,5.0,0,0,Completed
ORD2024-00064,CUST01568,CAT024,ECH001,2024-12-02,2024-12-07,Dec,Q4,2024,United Kingdom,England,East Midlands,Leicester,Garden,Seasonal,Patio Lantern Duo,Online,Premium,3,41.5,0.05,118.28,70.93,47.35,0.4003,Card,Standard,3.8,0,5,Completed
ORD2024-00065,CUST00734,CAT015,STR001,2024-02-23,2024-02-23,Feb,Q1,2024,United Kingdom,England,North West,Manchester,Kitchen,Storage,Pantry Glass Jar Set,In-Store,Consumer,1,21.42,0.0,21.42,9.82,11.6,0.5415,PayPal,Store Pickup,4.3,0,0,Completed
ORD2024-00066,CUST01350,CAT034,ECH003,2024-03-03,2024-03-04,Mar,Q1,2024,United Kingdom,England,North East,Newcastle upon Tyne,Kitchen,Tableware,Harper Dinner Set,Online,Small Business,10,74.0,0.0,740.0,435.04,304.96,0.4121,Card,Click & Collect,4.8,0,1,Completed
ORD2024-00067,CUST01279,CAT027,STR006,2025-09-03,2025-09-03,Sep,Q3,2025,United Kingdom,Scotland,Scotland,Glasgow,Storage,Organisation,Metro Storage Box Pack,In-Store,Premium,2,18.59,0.0,37.18,16.49,20.69,0.5565,Card,Store Pickup,4.5,0,0,Completed
ORD2024-00068,CUST00695,CAT032,ECH003,2024-11-16,2024-11-18,Nov,Q4,2024,United Kingdom,England,North West,Liverpool,Cleaning,Consumables,Eco Wipe Refill Bundle,Online,Consumer,2,16.47,0.0,32.94,18.01,14.93,0.4532,PayPal,Standard,4.7,0,2,Completed
ORD2024-00069,CUST01140,CAT033,STR009,2025-11-17,2025-11-17,Nov,Q4,2025,United Kingdom,England,South East,Reading,Home Accessories,Decor,Elm Photo Frame Set,In-Store,Small Business,2,18.97,0.06,35.66,15.54,20.12,0.5642,Digital Wallet,Store Pickup,3.9,0,0,Completed
ORD2024-00070,CUST00460,CAT014,ECH003,2024-04-27,2024-05-01,Apr,Q2,2024,United Kingdom,England,East of England,Norwich,Kitchen,Cookware,Forge Frying Pan,Online,Premium,3,34.2,0.08,94.39,66.03,28.36,0.3005,Card,Standard,3.3,3,4,Returned
ORD2024-00071,CUST00370,CAT026,STR005,2024-12-25,2024-12-25,Dec,Q4,2024,United Kingdom,England,South West,Bristol,Personal Care,Wellbeing,CalmAir Diffuser,In-Store,Consumer,1,43.04,0.06,40.46,21.45,19.01,0.4698,Card,Store Pickup,4.3,0,0,Completed
ORD2024-00072,CUST00758,CAT038,STR010,2024-02-23,2024-02-23,Feb,Q1,2024,United Kingdom,England,North East,Newcastle upon Tyne,Garden,Outdoor Living,Verde Folding Chair,In-Store,Consumer,1,58.0,0.0,58.0,32.91,25.09,0.4326,Card,Store Pickup,4.7,0,0,Completed
ORD2024-00073,CUST01050,CAT004,ECH001,2025-11-25,2025-11-28,Nov,Q4,2025,United Kingdom,England,West Midlands,Coventry,Home Accessories,Decor,Alder Wall Mirror,Online,Home Office,2,71.67,0.0,143.34,79.53,63.81,0.4452,Card,Standard,4.3,0,3,Completed
ORD2024-00074,CUST01530,CAT036,ECH002,2025-12-21,2025-12-23,Dec,Q4,2025,United Kingdom,Scotland,Scotland,Glasgow,Furniture,Workspace,Apex Standing Desk,Online,Small Business,1,295.46,0.0,295.46,219.82,75.64,0.256,Card,Standard,4.6,0,2,Completed
ORD2024-00075,CUST00829,CAT039,ECH002,2024-11-28,2024-12-02,Nov,Q4,2024,United Kingdom,England,North East,Newcastle upon Tyne,Personal Care,Wellbeing,Serene Heated Blanket,Online,Consumer,1,74.06,0.0,74.06,44.69,29.37,0.3966,PayPal,Standard,5.0,0,4,Completed
ORD2024-00076,CUST00454,CAT012,STR002,2024-04-26,2024-04-26,Apr,Q2,2024,United Kingdom,England,West Midlands,Birmingham,Furniture,Dining,Bromley Dining Table,In-Store,Home Office,1,327.07,0.0,327.07,231.79,95.28,0.2913,Card,Store Pickup,4.7,0,0,Completed
ORD2024-00077,CUST00314,CAT004,ECH003,2025-04-20,2025-04-22,Apr,Q2,2025,United Kingdom,England,South West,Bristol,Home Accessories,Decor,Alder Wall Mirror,Online,Home Office,3,67.72,0.17,168.62,119.9,48.72,0.2889,Card,Click & Collect,4.8,0,2,Completed
ORD2024-00078,CUST00563,CAT006,ECH003,2024-11-13,2024-11-16,Nov,Q4,2024,United Kingdom,England,North West,Manchester,Home Accessories,Soft Furnishings,Hearth Throw Blanket,Online,Premium,1,37.05,0.0,37.05,22.16,14.89,0.4019,Bank Transfer,Standard,4.6,0,3,Completed
ORD2024-00079,CUST01514,CAT027,STR010,2024-11-25,2024-11-25,Nov,Q4,2024,United Kingdom,England,North East,Newcastle upon Tyne,Storage,Organisation,Metro Storage Box Pack,In-Store,Small Business,2,20.48,0.0,40.96,16.81,24.15,0.5896,Bank Transfer,Store Pickup,4.9,0,0,Completed
ORD2024-00080,CUST01074,CAT009,STR006,2024-10-16,2024-10-16,Oct,Q4,2024,United Kingdom,Scotland,Scotland,Glasgow,Furniture,Bedroom,Oxford Bedside Table,In-Store,Consumer,1,87.57,0.0,87.57,55.5,32.07,0.3662,Card,Store Pickup,4.4,0,0,Completed
ORD2024-00081,CUST01345,CAT007,ECH003,2024-05-24,2024-05-28,May,Q2,2024,United Kingdom,Northern Ireland,Northern Ireland,Belfast,Furniture,Living Room,Riverside Coffee Table,Online,Small Business,1,142.41,0.06,133.87,100.04,33.83,0.2527,Bank Transfer,Standard,4.7,0,4,Completed
ORD2024-00082,CUST01404,CAT025,ECH003,2025-06-04,2025-06-07,Jun,Q2,2025,United Kingdom,England,South East,Reading,Personal Care,Wellbeing,PureMist Humidifier,Online,Premium,1,51.43,0.0,51.43,35.59,15.84,0.308,PayPal,Standard,4.9,0,3,Completed
ORD2024-00083,CUST00208,CAT013,STR009,2025-09-24,2025-09-24,Sep,Q3,2025,United Kingdom,England,East of England,Cambridge,Kitchen,Cookware,Sterling Saucepan Set,In-Store,Small Business,1,95.05,0.0,95.05,60.62,34.43,0.3622,Card,Store Pickup,3.6,0,0,Completed
ORD2024-00084,CUST00910,CAT023,STR008,2024-09-01,2024-09-02,Sep,Q3,2024,United Kingdom,Northern Ireland,Northern Ireland,Belfast,Garden,Outdoor Living,Oakwell Planter Trio,In-Store,Consumer,1,41.75,0.0,41.75,24.24,17.51,0.4194,Card,Click & Collect,4.6,0,1,Completed
ORD2024-00085,CUST01081,CAT023,STR004,2024-05-21,2024-05-21,May,Q2,2024,United Kingdom,England,London,London,Garden,Outdoor Living,Oakwell Planter Trio,In-Store,Premium,4,47.23,0.04,181.36,91.87,89.49,0.4934,Card,Store Pickup,4.6,0,0,Completed
ORD2024-00086,CUST01052,CAT035,STR002,2024-08-15,2024-08-15,Aug,Q3,2024,United Kingdom,England,West Midlands,Birmingham,Furniture,Workspace,Apex Office Chair,In-Store,Consumer,2,170.68,0.0,341.36,222.87,118.49,0.3471,Card,Store Pickup,4.3,0,0,Completed
ORD2024-00087,CUST00203,CAT025,STR003,2025-12-13,2025-12-13,Dec,Q4,2025,United Kingdom,England,South West,Bristol,Personal Care,Wellbeing,PureMist Humidifier,In-Store,Premium,4,58.38,0.0,233.52,119.18,114.34,0.4896,Card,Store Pickup,5.0,0,0,Completed
ORD2024-00088,CUST01590,CAT031,ECH001,2024-09-01,2024-09-04,Sep,Q3,2024,United Kingdom,England,North East,Sunderland,Cleaning,Home Care,PureClean Vacuum,Online,Home Office,3,137.53,0.0,412.59,294.13,118.46,0.2871,Card,Standard,4.1,0,3,Completed
ORD2024-00089,CUST01260,CAT009,ECH002,2025-11-11,2025-11-16,Nov,Q4,2025,United Kingdom,England,Yorkshire and The Humber,Sheffield,Furniture,Bedroom,Oxford Bedside Table,Online,Small Business,1,91.53,0.14,78.72,61.78,16.94,0.2152,PayPal,Standard,2.7,1,5,Returned
ORD2024-00090,CUST00707,CAT032,STR002,2024-12-06,2024-12-06,Dec,Q4,2024,United Kingdom,England,West Midlands,Birmingham,Cleaning,Consumables,Eco Wipe Refill Bundle,In-Store,Small Business,2,16.43,0.06,30.89,13.17,17.72,0.5736,Card,Store Pickup,4.3,0,0,Completed
ORD2024-00091,CUST01467,CAT015,ECH001,2024-07-23,2024-07-27,Jul,Q3,2024,United Kingdom,England,North East,Sunderland,Kitchen,Storage,Pantry Glass Jar Set,Online,Small Business,4,21.68,0.0,86.72,46.39,40.33,0.4651,Digital Wallet,Standard,4.3,0,4,Completed
